"No.","Ticker","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Price","Change","Volume"
1,"A",40833.41,31.12,21.90,2.28,5.89,7.28,,50.60,6.10%,10.75%,14.80%,13.67%,8.90%,138.03,-0.04%,1158389
2,"AAL",9067.55,127.36,4.75,,0.19,,1.01,5.00,106.30%,29.43%,-46.10%,,2.80%,14.01,0.86%,14041168
3,"AAP",7125.54,14.60,10.58,4.47,0.64,2.68,26.46,,-13.50%,7.70%,13.10%,3.27%,3.50%,120.69,0.40%,1029565
4,"AAPL",2591002.55,27.97,24.95,3.44,6.69,46.12,50.45,31.36,8.90%,10.61%,21.60%,8.13%,11.50%,164.66,0.55%,45337673
5,"ABBV",283673.73,24.37,14.45,,4.89,16.59,30.74,19.97,2.70%,1.05%,13.30%,-2.50%,15.50%,161.55,0.47%,5498027
6,"ABC",33850.56,20.20,13.20,2.74,0.14,,,20.33,8.90%,8.26%,37.40%,7.38%,9.30%,166.35,-0.60%,857766
7,"ABT",181111.28,26.73,21.79,3.22,4.15,4.99,17.81,40.29,-0.60%,9.41%,30.50%,8.30%,9.80%,104.93,0.69%,5065004
8,"ACGL",25551.23,18.10,10.25,1.03,2.69,2.09,29.88,6.79,-27.30%,13.27%,22.00%,17.60%,11.60%,68.94,0.51%,1979161
9,"ACN",186409.35,25.93,22.42,2.88,2.95,7.48,29.86,28.84,17.00%,8.42%,14.50%,9.00%,11.20%,281.70,0.13%,2125316
10,"ADBE",175232.05,37.53,21.62,2.69,9.74,12.30,31.00,23.94,0.70%,13.57%,24.50%,13.98%,19.20%,380.60,-0.37%,1835767
11,"ADI",96298.96,28.26,17.13,4.28,7.66,2.60,57.65,35.75,51.60%,2.02%,18.10%,6.60%,18.00%,187.17,-1.68%,3008992
12,"ADM",43392.83,10.22,11.78,,0.43,1.79,41.84,34.44,61.30%,-2.79%,29.40%,-2.80%,10.80%,78.74,-0.84%,2413897
13,"ADP",88326.32,28.71,23.97,2.14,5.12,29.97,64.88,56.24,15.40%,10.95%,12.00%,13.43%,5.90%,216.11,1.38%,1966560
14,"ADSK",42430.07,52.26,23.61,3.28,8.48,36.68,20.48,20.89,68.60%,15.68%,48.50%,15.95%,19.50%,197.34,-0.11%,1174474
15,"AEE",23430.81,21.76,19.25,3.25,2.94,2.22,93.72,14.43,7.70%,7.34%,8.30%,6.70%,5.20%,90.07,0.90%,1543764
16,"AEP",48580.83,21.08,16.83,3.73,2.47,2.04,69.71,13.72,-9.40%,6.58%,3.30%,5.65%,4.90%,94.89,0.37%,2991524
17,"AES",16123.52,,12.65,,1.28,8.22,7.66,,-31.80%,12.54%,-2.90%,8.40%,3.70%,24.40,1.24%,4738909
18,"AFL",39430.66,9.84,10.69,8.71,2.02,1.79,10.00,13.60,3.10%,6.60%,14.50%,1.13%,-2.10%,64.56,0.16%,2355670
19,"AIG",36859.33,4.00,6.92,0.25,0.65,0.96,18.04,11.43,20.20%,18.20%,81.60%,15.98%,2.60%,51.08,1.67%,3438365
20,"AIZ",6285.69,23.46,8.72,1.97,0.62,1.49,4.09,24.14,-49.30%,17.47%,-4.00%,11.90%,9.70%,118.33,-0.37%,420111
21,"AJG",41804.94,37.97,19.95,3.72,4.89,4.56,122.13,27.63,18.60%,12.86%,12.80%,10.20%,6.50%,197.37,1.07%,895013
22,"AKAM",12099.22,24.13,13.11,2.01,3.35,2.84,10.95,11.71,-17.00%,10.10%,17.80%,12.00%,7.80%,78.92,1.95%,1079248
23,"ALB",23073.47,8.53,6.97,,3.15,2.86,15.39,49.96,28.30%,-0.90%,43.50%,,19.00%,194.68,-1.03%,2013870
24,"ALGN",24287.20,70.26,33.11,1.62,6.50,6.96,24.30,87.74,-52.40%,21.65%,3.60%,43.25%,20.40%,323.14,1.93%,612973
25,"ALK",5347.07,96.20,6.10,4.95,0.55,1.40,2.21,3.79,-87.60%,20.21%,-40.00%,19.43%,4.10%,42.04,0.21%,1674085
26,"ALL",30251.01,,8.63,,0.59,1.96,41.10,8.01,-130.80%,99.55%,-21.60%,-2.19%,5.40%,115.22,0.30%,1414450
27,"ALLE",8715.51,19.19,14.38,2.13,2.66,9.31,30.26,34.64,-2.80%,8.10%,8.90%,9.00%,6.30%,99.64,0.45%,836839
28,"AMAT",99149.18,15.34,16.90,1.23,3.78,7.21,24.50,30.96,16.10%,-4.01%,18.00%,12.48%,11.90%,114.45,-2.45%,6265919
29,"AMCR",16804.24,15.80,13.79,5.60,1.12,3.81,20.08,763.83,-12.20%,5.29%,1.80%,2.82%,9.80%,11.25,-0.53%,9398339
30,"AMD",148966.40,104.49,21.25,12.73,6.31,2.73,25.44,47.82,-67.30%,42.22%,21.90%,8.21%,35.10%,92.47,-0.10%,47732587
31,"AME",31242.75,27.00,21.02,2.70,5.08,4.16,90.45,38.66,17.80%,7.34%,14.50%,10.00%,7.40%,135.25,-0.31%,1175833
32,"AMGN",135293.15,20.90,13.38,5.07,5.14,37.04,14.54,29.48,17.80%,6.62%,2.00%,4.12%,2.90%,253.32,-0.02%,2047732
33,"AMP",31385.10,13.25,8.97,1.24,2.19,8.96,4.42,8.50,-2.10%,9.22%,14.80%,10.66%,3.30%,297.32,-0.39%,430825
34,"AMT",95313.03,53.83,41.28,6.66,8.90,17.27,46.99,,-32.60%,13.56%,7.40%,8.09%,10.00%,206.69,0.98%,1273327
35,"AMZN",1035997.77,,40.63,,2.02,7.14,14.79,,-108.20%,173.04%,-26.00%,,23.60%,102.06,0.95%,43751813
36,"ANET",49900.38,37.38,24.67,1.88,11.39,10.02,16.50,111.34,62.30%,11.78%,23.30%,19.90%,21.60%,159.85,-1.85%,2677310
37,"ANSS",28066.05,53.80,33.63,5.78,13.59,5.76,45.67,46.27,16.00%,10.68%,13.60%,9.30%,13.50%,322.08,-0.38%,421756
38,"AON",65965.50,26.57,19.77,2.34,5.29,,8.76,25.77,118.80%,11.58%,33.60%,11.36%,4.50%,322.05,0.15%,465826
39,"AOS",9750.72,43.59,17.98,5.45,2.60,5.63,20.24,67.76,-49.90%,8.09%,-6.90%,8.00%,4.60%,64.60,-0.02%,1159084
40,"APA",11813.12,3.51,5.27,0.25,1.07,27.99,48.22,2.51,325.20%,24.39%,24.40%,13.87%,13.50%,38.07,0.21%,5084680
41,"APD",63043.92,27.82,22.57,3.17,4.90,4.50,20.01,,10.60%,10.23%,14.30%,8.79%,9.20%,282.00,-0.66%,869163
42,"APH",46408.53,25.34,23.50,2.57,3.68,6.59,32.36,35.33,22.10%,10.10%,13.10%,9.86%,12.50%,77.64,-0.53%,1816175
43,"APTV",28324.32,52.64,16.42,1.54,1.62,3.17,18.50,67.60,0.80%,42.40%,-13.30%,34.27%,6.30%,103.02,-1.42%,1648412
44,"ARE",21403.79,39.22,34.47,,8.27,1.08,25.94,,-16.90%,10.20%,15.00%,-10.96%,18.10%,124.39,0.59%,603738
45,"ATO",16592.78,20.43,18.01,2.62,3.55,1.66,96.69,,9.40%,6.45%,9.20%,7.80%,8.80%,115.42,0.51%,811933
46,"ATVI",66961.62,44.43,20.52,3.77,8.90,3.48,5.50,31.45,-44.30%,7.95%,10.10%,11.77%,1.40%,85.22,-0.19%,6616563
47,"AVB",23270.77,20.75,30.35,,8.97,2.09,37.95,44.93,13.00%,17.92%,5.10%,-9.83%,3.70%,168.19,1.12%,544582
48,"AVGO",262249.75,20.94,14.09,2.23,7.62,11.16,20.74,27.13,76.80%,6.62%,45.80%,9.40%,13.50%,622.64,-1.01%,1448972
49,"AVY",14338.85,19.20,16.72,2.59,1.59,7.05,85.76,32.29,4.30%,13.83%,12.80%,7.41%,6.40%,176.87,0.05%,497484
50,"AWK",29236.90,33.71,29.55,4.07,7.71,3.59,343.96,,-35.10%,7.62%,7.90%,8.28%,2.50%,151.88,1.11%,1059255
51,"AXP",119854.71,16.15,12.67,2.15,2.20,4.81,3.63,6.79,-1.80%,12.78%,10.70%,7.50%,7.60%,158.83,-1.40%,3753965
52,"AZO",45881.23,20.72,17.30,2.35,2.72,,152.28,18.38,23.10%,13.46%,21.60%,8.80%,8.30%,2530.68,1.45%,142670
53,"BA",125826.44,,38.07,,1.89,,7.31,54.95,-16.20%,7505.48%,-22.00%,,-6.70%,211.37,0.65%,5612186
54,"BAC",221100.27,8.74,7.92,2.60,3.05,0.92,0.26,,-10.80%,5.18%,12.90%,3.36%,4.70%,27.84,0.72%,40992246
55,"BALL",16719.50,23.60,14.84,7.61,1.09,4.77,30.51,,-14.00%,14.46%,11.90%,3.10%,6.90%,52.63,-1.03%,1931143
56,"BAX",21363.19,,12.86,,1.41,3.68,12.43,,-291.00%,15.28%,-33.50%,1.18%,7.40%,42.30,0.09%,4393702
57,"BBWI",8162.31,10.38,9.98,3.46,1.08,,6.63,12.96,-13.50%,22.08%,1.90%,3.00%,-9.80%,35.53,-0.42%,2805674
58,"BBY",16632.47,11.92,10.65,,0.36,5.95,,158.40,-36.10%,13.18%,8.50%,-7.54%,1.90%,75.08,-1.57%,1791253
59,"BDX",71318.29,49.21,18.70,7.81,3.81,2.84,116.53,,3.70%,11.55%,3.10%,6.30%,9.30%,254.69,1.20%,1369835
60,"BEN",13314.63,13.53,10.00,,1.66,1.12,2.96,15.76,-29.20%,13.57%,-3.40%,-3.15%,5.30%,26.60,-0.04%,2673922
61,"BF-B",30328.07,41.41,30.82,4.68,7.26,9.88,70.86,297.33,-7.20%,21.81%,4.90%,8.85%,5.60%,62.66,-0.43%,1774607
62,"BG",13830.17,8.79,8.38,,0.21,1.50,6.87,,-21.60%,-6.58%,56.30%,-5.39%,8.00%,92.46,0.24%,1528413
63,"BIIB",41032.47,13.71,17.42,10.03,4.03,3.08,8.39,35.87,100.60%,6.13%,3.70%,1.37%,-3.70%,286.80,0.99%,737066
64,"BIO",13726.11,,25.74,,4.90,1.44,7.67,168.21,-186.50%,13.46%,35.55%,17.80%,5.30%,466.24,0.53%,95581
65,"BK",35889.42,15.47,8.46,1.97,5.04,1.01,0.24,2.86,-30.10%,7.09%,-0.90%,7.85%,10.20%,44.85,-0.07%,3207341
66,"BKNG",98470.53,33.18,16.69,1.07,5.76,35.77,7.94,15.92,171.10%,19.14%,0.50%,31.04%,6.10%,2583.85,-1.21%,272674
67,"BKR",29384.69,,13.79,,1.39,1.98,9.65,169.85,-129.10%,32.06%,-4.90%,49.30%,4.20%,28.51,-1.83%,4583140
68,"BLK",98558.46,19.33,16.57,3.08,5.51,2.61,13.29,68.78,-11.10%,14.53%,8.10%,6.27%,5.60%,656.40,0.05%,441511
69,"BMY",146852.70,23.96,8.62,5.90,3.18,4.80,15.87,20.08,-5.40%,1.65%,4.50%,4.06%,17.30%,70.74,1.32%,9668409
70,"BR",16581.12,31.45,18.74,2.67,2.84,9.30,59.22,146.48,-2.10%,8.81%,11.00%,11.80%,6.60%,141.20,0.23%,784934
71,"BRK-B",687834.14,,17.57,,2.28,,,,12.70%,12.90%,11.56%,23.30%,,312.51,0.68%,3130855
72,"BRO",16727.75,25.00,21.77,1.89,4.68,3.57,25.27,23.58,14.30%,10.32%,19.70%,13.22%,13.70%,59.14,0.51%,799120
73,"BSX",72930.00,112.29,23.27,10.17,5.75,4.08,78.59,77.75,-35.10%,12.73%,-8.40%,11.04%,7.00%,50.08,-1.30%,9622857
74,"BWA",10847.59,11.54,8.06,0.85,0.69,1.48,8.11,15.84,77.80%,17.25%,3.40%,13.63%,10.00%,46.06,-0.73%,2041154
75,"BXP",8237.93,9.84,21.33,1.41,2.65,1.36,11.93,19.60,70.10%,1.92%,13.00%,7.00%,3.60%,53.10,1.09%,1351938
76,"C",89089.93,6.45,6.95,,1.20,0.49,0.09,5.76,-29.90%,13.86%,5.50%,-9.15%,3.90%,45.86,0.20%,11913182
77,"CAG",18240.48,22.91,13.43,2.78,1.49,2.07,256.19,126.49,-30.80%,4.42%,8.40%,8.26%,8.10%,38.38,0.29%,4634284
78,"CAH",20461.94,,12.49,,0.11,,5.60,9.09,-260.90%,16.13%,-23.10%,11.85%,6.90%,79.23,-0.24%,1855285
79,"CARR",35151.29,10.22,14.72,0.73,1.72,4.50,9.99,39.90,119.60%,10.60%,23.70%,14.00%,2.80%,41.80,-0.71%,4861873
80,"CAT",110255.60,16.55,12.19,1.25,1.86,6.82,15.74,27.36,7.50%,7.76%,19.40%,13.22%,5.50%,209.17,-2.04%,4177227
81,"CB",81168.19,15.73,9.80,1.11,1.88,1.62,40.34,8.23,-34.90%,10.50%,11.60%,14.19%,6.00%,196.80,0.41%,1248211
82,"CBOE",14313.39,62.31,18.09,22.77,3.62,4.16,27.29,37.48,-55.40%,5.28%,2.80%,2.74%,12.20%,136.02,0.29%,538257
83,"CBRE",21717.35,16.46,12.12,1.50,0.70,2.81,16.47,15.86,-20.60%,16.73%,11.70%,11.00%,10.60%,70.31,0.33%,1432389
84,"CCI",57990.13,34.83,37.73,,8.30,7.82,371.73,,44.60%,-5.82%,35.60%,-3.23%,10.40%,134.42,0.52%,1149578
85,"CCL",12053.72,,12.59,,0.80,1.99,,,39.00%,365.50%,-28.00%,,-7.00%,9.73,0.72%,28029305
86,"CDAY",10586.65,,42.60,,8.50,5.04,24.51,94.19,4.30%,30.10%,17.70%,37.30%,13.20%,69.23,-0.14%,672274
87,"CDNS",56707.02,67.55,37.30,3.82,15.92,20.48,64.27,50.69,23.70%,12.22%,51.80%,17.68%,12.90%,208.52,0.46%,1885651
88,"CDW",25487.70,22.80,16.29,1.57,1.07,15.68,80.86,27.54,15.60%,9.57%,23.50%,14.54%,9.90%,185.50,-1.31%,545168
89,"CE",11838.25,6.09,7.31,2.28,1.22,2.04,,12.09,2.10%,21.21%,20.50%,2.67%,9.50%,106.03,-0.74%,690027
90,"CEG",25056.64,,14.98,,1.11,2.33,21.02,,-134.70%,27.75%,,21.70%,,76.96,0.60%,1222992
91,"CF",14337.73,4.38,8.65,,1.28,2.78,6.17,4.63,286.30%,-24.14%,98.50%,,22.10%,71.46,-2.32%,2295786
92,"CFG",13860.87,7.10,5.93,8.36,1.96,0.66,1.19,4.31,-20.50%,0.25%,9.60%,0.85%,7.50%,29.07,1.57%,5573715
93,"CHD",21894.09,53.97,27.30,6.91,4.07,6.39,81.00,48.50,-49.30%,8.32%,-1.80%,7.81%,7.30%,90.61,1.00%,1264739
94,"CHRW",10854.44,12.71,18.08,13.17,0.44,8.13,49.91,8.33,17.30%,12.02%,16.20%,0.96%,10.70%,92.67,-0.55%,867956
95,"CHTR",59717.53,11.39,8.79,0.65,1.11,5.89,92.59,10.76,25.60%,16.81%,62.10%,17.66%,5.40%,350.27,-0.81%,765105
