"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"A",40833.41,296.00,294.19,0.30%,-21.62%,90.70%,-3.26%,1.27%,2.61,1431.21,138.03,-0.04%,1158389
2,"AAL",9067.55,650.95,642.23,0.10%,-14.05%,55.50%,1.47%,9.12%,2.42,24148.92,14.01,0.86%,14041168
3,"AAP",7125.54,59.44,58.78,0.20%,0.00%,98.16%,-3.53%,5.90%,2.55,1359.83,120.69,0.40%,1029565
4,"AAPL",2591002.55,15892.72,15810.14,0.07%,-5.29%,60.10%,-0.47%,0.68%,1.61,66838.40,164.66,0.55%,45337673
5,"ABBV",283673.73,1771.00,1761.50,0.13%,-12.36%,70.90%,0.10%,0.80%,2.21,6366.93,161.55,0.47%,5498027
6,"ABC",33850.56,204.03,162.29,0.20%,-97.94%,72.40%,0.01%,2.10%,2.64,1289.90,166.35,-0.60%,857766
7,"ABT",181111.28,1743.37,1730.77,0.40%,-1.14%,76.20%,0.27%,0.74%,2.43,5289.12,104.93,0.69%,5065004
8,"ACGL",25551.23,365.87,358.48,0.90%,-3.48%,90.70%,-0.11%,1.85%,3.11,2127.67,68.94,0.51%,1979161
9,"ACN",186409.35,662.60,661.59,0.10%,-12.30%,75.40%,1.16%,0.86%,2.34,2423.09,281.70,0.13%,2125316
10,"ADBE",175232.05,459.00,457.38,0.32%,-3.58%,84.10%,-0.71%,1.06%,1.58,3068.33,380.60,-0.37%,1835767
11,"ADI",96298.96,507.12,504.56,0.37%,-5.19%,89.30%,0.21%,1.10%,1.60,3460.52,187.17,-1.68%,3008992
12,"ADM",43392.83,553.00,542.29,0.20%,-26.86%,81.80%,-1.04%,1.16%,1.92,3292.93,78.74,-0.84%,2413897
13,"ADP",88326.32,414.30,410.16,0.10%,-30.26%,81.90%,0.81%,1.05%,2.02,2135.28,216.11,1.38%,1966560
14,"ADSK",42430.07,214.78,214.11,0.10%,-6.55%,95.00%,2.05%,1.11%,1.66,1436.88,197.34,-0.11%,1174474
15,"AEE",23430.81,259.00,257.49,0.20%,-20.97%,80.00%,-1.66%,1.79%,3.21,1436.83,90.07,0.90%,1543764
16,"AEP",48580.83,513.88,513.70,0.03%,-30.15%,75.70%,0.34%,1.26%,2.15,3004.81,94.89,0.37%,2991524
17,"AES",16123.52,669.03,666.36,0.38%,-22.92%,97.40%,0.34%,1.50%,2.29,4372.13,24.40,1.24%,4738909
18,"AFL",39430.66,619.68,563.18,0.10%,-15.68%,60.60%,-0.89%,1.56%,3.26,2698.71,64.56,0.16%,2355670
19,"AIG",36859.33,744.82,726.30,0.32%,0.00%,92.00%,-3.13%,1.00%,1.33,5453.41,51.08,1.67%,3438365
20,"AIZ",6285.69,53.41,52.33,0.20%,-0.49%,99.00%,-6.36%,2.07%,2.45,441.31,118.33,-0.37%,420111
21,"AJG",41804.94,211.20,208.85,0.30%,-11.32%,87.20%,1.93%,0.95%,2.17,913.98,197.37,1.07%,895013
22,"AKAM",12099.22,157.11,154.56,0.10%,-18.79%,95.40%,-1.95%,7.15%,6.45,1712.44,78.92,1.95%,1079248
