"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"A",2.63%,-2.04%,-9.26%,4.06%,3.58%,-7.76%,1.71%,2.31%,1.90,1431.21,0.81,138.03,-0.04%,1158389
2,"AAL",-3.18%,-15.55%,0.14%,8.86%,-21.47%,10.14%,2.60%,3.57%,2.90,24148.92,0.58,14.01,0.86%,14041168
3,"AAP",1.75%,-8.71%,-21.20%,-28.01%,-43.00%,-17.91%,1.87%,2.58%,2.70,1359.83,0.76,120.69,0.40%,1029565
4,"AAPL",1.42%,7.71%,31.71%,12.47%,-5.94%,26.73%,1.61%,2.01%,2.00,66838.40,0.68,164.66,0.55%,45337673
5,"ABBV",2.30%,7.99%,-1.19%,12.71%,-1.15%,-0.04%,1.38%,1.75%,2.40,6366.93,0.86,161.55,0.47%,5498027
6,"ABC",4.40%,9.54%,2.01%,16.78%,6.80%,0.39%,1.74%,1.87%,2.00,1289.90,0.66,166.35,-0.60%,857766
7,"ABT",5.90%,5.56%,-5.30%,1.50%,-12.18%,-4.43%,1.57%,1.75%,2.00,5289.12,0.96,104.93,0.69%,5065004
8,"ACGL",1.59%,-1.92%,9.53%,43.74%,45.17%,9.81%,2.09%,2.84%,1.80,2127.67,0.93,68.94,0.51%,1979161
9,"ACN",-0.34%,6.84%,7.12%,2.68%,-17.83%,5.57%,1.36%,2.29%,2.10,2423.09,0.88,281.70,0.13%,2125316
10,"ADBE",-0.34%,10.05%,15.88%,27.98%,-17.00%,13.10%,1.63%,2.46%,2.20,3068.33,0.60,380.60,-0.37%,1835767
11,"ADI",-3.62%,0.32%,17.21%,23.23%,17.00%,14.11%,2.16%,2.37%,2.00,3460.52,0.87,187.17,-1.68%,3008992
12,"ADM",-0.92%,-1.46%,-6.52%,-8.73%,-13.38%,-15.20%,1.77%,2.26%,2.30,3292.93,0.73,78.74,-0.84%,2413897
13,"ADP",-1.54%,-2.64%,-7.50%,-9.60%,-9.20%,-9.52%,1.75%,1.93%,3.00,2135.28,0.92,216.11,1.38%,1966560
14,"ADSK",-2.12%,-3.51%,8.39%,-3.52%,-6.72%,5.60%,2.88%,2.96%,2.10,1436.88,0.82,197.34,-0.11%,1174474
15,"AEE",4.19%,8.32%,4.73%,10.60%,-5.13%,1.29%,1.69%,2.29%,2.20,1436.83,1.07,90.07,0.90%,1543764
16,"AEP",4.93%,6.26%,1.18%,8.20%,-6.34%,-0.06%,1.87%,2.49%,2.50,3004.81,1.00,94.89,0.37%,2991524
17,"AES",3.52%,-1.29%,-5.68%,-4.01%,-5.94%,-15.16%,1.80%,2.70%,1.70,4372.13,1.08,24.40,1.24%,4738909
18,"AFL",0.42%,-2.36%,-9.71%,8.20%,1.24%,-10.26%,1.81%,2.27%,2.90,2698.71,0.87,64.56,0.16%,2355670
19,"AIG",2.53%,-10.93%,-19.57%,-0.43%,-18.21%,-19.23%,2.18%,3.40%,2.30,5453.41,0.63,51.08,1.67%,3438365
20,"AIZ",-0.27%,-3.06%,-6.21%,-22.12%,-34.94%,-5.38%,2.14%,2.91%,1.90,441.31,0.95,118.33,-0.37%,420111
21,"AJG",4.06%,4.44%,5.86%,8.59%,12.87%,4.68%,1.47%,1.96%,1.90,913.98,0.98,197.37,1.07%,895013
22,"AKAM",3.10%,6.06%,-6.74%,-7.57%,-34.46%,-6.38%,1.62%,1.92%,2.80,1712.44,0.63,78.92,1.95%,1079248
23,"ALB",-12.48%,-23.13%,-10.95%,-29.67%,-10.41%,-10.23%,3.10%,4.05%,2.40,1732.59,1.16,194.68,-1.03%,2013870
24,"ALGN",3.62%,-2.74%,47.00%,41.23%,-26.02%,53.22%,3.86%,3.61%,2.20,1044.46,0.59,323.14,1.93%,612973
25,"ALK",2.59%,-14.57%,-4.69%,-1.45%,-26.08%,-2.10%,2.03%,3.23%,1.80,1570.86,1.07,42.04,0.21%,1674085
26,"ALL",5.62%,-5.87%,-17.31%,-13.37%,-16.04%,-15.03%,2.51%,3.10%,2.20,1968.57,0.72,115.22,0.30%,1414450
