"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"A",40833.41,0.65%,12.50%,25.00%,16.90%,2.10,1.50,0.49,0.53,54.50%,24.10%,19.10%,2/28/2023 4:30:00 PM,138.03,-0.04%,1158389
2,"AAL",9067.55,,0.20%,-1.60%,5.20%,0.70,0.60,,,57.90%,3.30%,0.30%,1/26/2023 8:30:00 AM,14.01,0.86%,14041168
3,"AAP",7125.54,4.97%,4.20%,18.10%,13.80%,1.10,0.20,0.44,0.51,44.50%,6.30%,4.50%,2/28/2023 8:30:00 AM,120.69,0.40%,1029565
4,"AAPL",2591002.55,0.56%,27.50%,163.50%,58.30%,0.90,0.90,1.76,1.96,43.10%,29.40%,24.60%,5/4/2023 4:30:00 PM,164.66,0.55%,45337673
5,"ABBV",283673.73,3.66%,8.30%,73.40%,20.50%,1.00,0.80,3.43,3.67,71.50%,31.20%,20.30%,4/27/2023 8:30:00 AM,161.55,0.47%,5498027
6,"ABC",33850.56,1.17%,3.00%,,34.50%,0.90,0.50,,,3.50%,1.00%,0.70%,5/2/2023 8:30:00 AM,166.35,-0.60%,857766
7,"ABT",181111.28,1.94%,9.40%,19.20%,13.00%,1.60,1.20,0.40,0.46,56.10%,19.20%,15.90%,4/19/2023 8:30:00 AM,104.93,0.69%,5065004
8,"ACGL",25551.23,,3.10%,12.30%,8.90%,,,0.23,0.23,,14.80%,15.10%,4/26/2023 4:30:00 PM,68.94,0.51%,1979161
9,"ACN",186409.35,1.59%,14.70%,30.80%,31.90%,1.30,1.30,0.00,0.00,32.10%,14.70%,11.00%,3/23/2023 8:30:00 AM,281.70,0.13%,2125316
10,"ADBE",175232.05,,17.70%,33.50%,26.70%,1.10,1.10,0.26,0.26,87.70%,33.90%,26.30%,3/15/2023 4:30:00 PM,380.60,-0.37%,1835767
11,"ADI",96298.96,1.84%,6.80%,9.40%,6.80%,2.10,1.50,0.18,0.00,65.60%,32.20%,27.30%,2/15/2023 8:30:00 AM,187.17,-1.68%,3008992
12,"ADM",43392.83,2.29%,7.10%,18.00%,9.80%,1.50,0.90,0.32,0.38,7.50%,4.10%,4.30%,1/26/2023 8:30:00 AM,78.74,-0.84%,2413897
13,"ADP",88326.32,2.31%,5.30%,96.90%,47.10%,1.00,1.00,1.00,1.00,43.70%,23.70%,18.20%,4/26/2023 8:30:00 AM,216.11,1.38%,1966560
14,"ADSK",42430.07,,9.50%,94.80%,25.30%,0.80,0.80,1.99,1.99,90.40%,19.80%,16.40%,2/23/2023 4:30:00 PM,197.34,-0.11%,1174474
15,"AEE",23430.81,2.80%,2.90%,10.60%,5.20%,0.80,0.60,1.30,1.44,72.30%,19.00%,13.50%,2/15/2023 4:30:00 PM,90.07,0.90%,1543764
