No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,40833.41,31.12,138.03,-0.04%,1158389,21.9,2.28,5.89,7.28,,50.6,6.10%,10.75%,14.80%,13.67%,8.90%,0.65%,12.50%,25.00%,16.90%,2.1,1.5,0.49,0.53,54.50%,24.10%,19.10%,2/28/2023 4:30:00 PM,296.0,294.19,0.30%,-21.62%,90.70%,-3.26%,1.27%,2.61,1431.21,2.63%,-2.04%,-9.26%,4.06%,3.58%,-7.76%,1.71%,2.31%,1.9,0.81,1.03,3.04,1.92%,-3.74%,-0.10%,-13.87%,22.67%,50.1,0.01%,-0.06%
2,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,9067.55,127.36,14.01,0.86%,14041168,4.75,,0.19,,1.01,5.0,106.30%,29.43%,-46.10%,,2.80%,,0.20%,-1.60%,5.20%,0.7,0.6,,,57.90%,3.30%,0.30%,1/26/2023 8:30:00 AM,650.95,642.23,0.10%,-14.05%,55.50%,1.47%,9.12%,2.42,24148.92,-3.18%,-15.55%,0.14%,8.86%,-21.47%,10.14%,2.60%,3.57%,2.9,0.58,1.54,0.49,-2.12%,-9.84%,-2.07%,-34.59%,20.24%,41.08,0.36%,0.50%
3,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,7125.54,14.6,120.69,0.40%,1029565,10.58,4.47,0.64,2.68,26.46,,-13.50%,7.70%,13.10%,3.27%,3.50%,4.97%,4.20%,18.10%,13.80%,1.1,0.2,0.44,0.51,44.50%,6.30%,4.50%,2/28/2023 8:30:00 AM,59.44,58.78,0.20%,0.00%,98.16%,-3.53%,5.90%,2.55,1359.83,1.75%,-8.71%,-21.20%,-28.01%,-43.00%,-17.91%,1.87%,2.58%,2.7,0.76,1.12,3.15,0.84%,-11.08%,-25.40%,-47.85%,10.67%,42.08,0.51%,-0.11%
4,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2591002.55,27.97,164.66,0.55%,45337673,24.95,3.44,6.69,46.12,50.45,31.36,8.90%,10.61%,21.60%,8.13%,11.50%,0.56%,27.50%,163.50%,58.30%,0.9,0.9,1.76,1.96,43.10%,29.40%,24.60%,5/4/2023 4:30:00 PM,15892.72,15810.14,0.07%,-5.29%,60.10%,-0.47%,0.68%,1.61,66838.4,1.42%,7.71%,31.71%,12.47%,-5.94%,26.73%,1.61%,2.01%,2.0,0.68,1.3,3.13,4.24%,7.66%,10.52%,-6.52%,32.61%,65.61,1.40%,-0.84%
5,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,283673.73,24.37,161.55,0.47%,5498027,14.45,,4.89,16.59,30.74,19.97,2.70%,1.05%,13.30%,-2.50%,15.50%,3.66%,8.30%,73.40%,20.50%,1.0,0.8,3.43,3.67,71.50%,31.20%,20.30%,4/27/2023 8:30:00 AM,1771.0,1761.5,0.13%,-12.36%,70.90%,0.10%,0.80%,2.21,6366.93,2.30%,7.99%,-1.19%,12.71%,-1.15%,-0.04%,1.38%,1.75%,2.4,0.86,0.55,2.57,3.61%,5.97%,7.67%,-8.16%,20.48%,66.03,0.25%,0.21%
6,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,33850.56,20.2,166.35,-0.60%,857766,13.2,2.74,0.14,,,20.33,8.90%,8.26%,37.40%,7.38%,9.30%,1.17%,3.00%,,34.50%,0.9,0.5,,,3.50%,1.00%,0.70%,5/2/2023 8:30:00 AM,204.03,162.29,0.20%,-97.94%,72.40%,0.01%,2.10%,2.64,1289.9,4.40%,9.54%,2.01%,16.78%,6.80%,0.39%,1.74%,1.87%,2.0,0.66,0.52,2.96,7.07%,5.68%,8.62%,-4.74%,23.09%,69.03,-0.98%,0.38%
7,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,181111.28,26.73,104.93,0.69%,5065004,21.79,3.22,4.15,4.99,17.81,40.29,-0.60%,9.41%,30.50%,8.30%,9.80%,1.94%,9.40%,19.20%,13.00%,1.6,1.2,0.4,0.46,56.10%,19.20%,15.90%,4/19/2023 8:30:00 AM,1743.37,1730.77,0.40%,-1.14%,76.20%,0.27%,0.74%,2.43,5289.12,5.90%,5.56%,-5.30%,1.50%,-12.18%,-4.43%,1.57%,1.75%,2.0,0.96,0.66,1.81,6.17%,1.46%,-0.35%,-15.62%,12.53%,63.87,0.42%,0.27%
8,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,25551.23,18.1,68.94,0.51%,1979161,10.25,1.03,2.69,2.09,29.88,6.79,-27.30%,13.27%,22.00%,17.60%,11.60%,,3.10%,12.30%,8.90%,,,0.23,0.23,,14.80%,15.10%,4/26/2023 4:30:00 PM,365.87,358.48,0.90%,-3.48%,90.70%,-0.11%,1.85%,3.11,2127.67,1.59%,-1.92%,9.53%,43.74%,45.17%,9.81%,2.09%,2.84%,1.8,0.93,0.72,1.71,3.54%,3.48%,24.86%,-4.62%,67.94%,56.89,0.25%,0.26%
9,ACN,Accenture plc,Technology,Information Technology Services,Ireland,186409.35,25.93,281.7,0.13%,2125316,22.42,2.88,2.95,7.48,29.86,28.84,17.00%,8.42%,14.50%,9.00%,11.20%,1.59%,14.70%,30.80%,31.90%,1.3,1.3,0.0,0.0,32.10%,14.70%,11.00%,3/23/2023 8:30:00 AM,662.6,661.59,0.10%,-12.30%,75.40%,1.16%,0.86%,2.34,2423.09,-0.34%,6.84%,7.12%,2.68%,-17.83%,5.57%,1.36%,2.29%,2.1,0.88,1.24,5.77,5.84%,3.44%,0.67%,-18.30%,16.02%,60.99,0.37%,-0.24%
10,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,175232.05,37.53,380.6,-0.37%,1835767,21.62,2.69,9.74,12.3,31.0,23.94,0.70%,13.57%,24.50%,13.98%,19.20%,,17.70%,33.50%,26.70%,1.1,1.1,0.26,0.26,87.70%,33.90%,26.30%,3/15/2023 4:30:00 PM,459.0,457.38,0.32%,-3.58%,84.10%,-0.71%,1.06%,1.58,3068.33,-0.34%,10.05%,15.88%,27.98%,-17.00%,13.10%,1.63%,2.46%,2.2,0.6,1.31,8.97,4.95%,5.60%,7.94%,-16.52%,38.54%,60.5,0.34%,-0.71%
